Time,Data_Filt_E0,Data_Filt_E1,Data_Filt_E6,Data_Filt_CD,On-set
3.759,4.820681885062347e-07,5.722407792282113e-07,3.968626807366206e-07,1.4513987556836442e-05,0.0
3.7600000000000002,4.897200008630841e-07,5.751436089407973e-07,4.043218295646826e-07,1.4741409631733429e-05,0.0
3.761,4.972987042493912e-07,5.779959792371004e-07,4.116230076876318e-07,1.4972947179137298e-05,0.0
3.762,5.047820383826116e-07,5.808037345267754e-07,4.1873550588652353e-07,1.5207621026196326e-05,0.0
3.763,5.121476819073979e-07,5.83567648432846e-07,4.256299595342562e-07,1.5444402561399173e-05,0.0
3.7640000000000002,5.193722095253705e-07,5.862825680636023e-07,4.322789588682826e-07,1.568221385081569e-05,0.0
3.765,5.264327960452705e-07,5.889389646808422e-07,4.386562651457544e-07,1.5919988905493773e-05,0.0
3.766,5.333085381838677e-07,5.915255370940121e-07,4.4473641453592485e-07,1.615673433533886e-05,0.0
3.767,5.399793024412985e-07,5.940322643137528e-07,4.504950410126854e-07,1.6391512306788208e-05,0.0
3.7680000000000002,5.464231691964513e-07,5.964512232814381e-07,4.5590907359806507e-07,1.6623351867596854e-05,0.0
3.769,5.526152427193511e-07,5.987743385246862e-07,4.6095673780671846e-07,1.6851188853261075e-05,0.0
3.77,5.585284805302978e-07,6.009934361900199e-07,4.656178690347573e-07,1.707393498002055e-05,0.0
3.771,5.641347181089253e-07,6.031059289487135e-07,4.698742714648561e-07,1.7290651728375107e-05,0.0
3.7720000000000002,5.694052375741903e-07,6.051202801817865e-07,4.737097898526758e-07,1.75006412977333e-05,0.0
3.773,5.743120338398469e-07,6.070537820627789e-07,4.77110496593743e-07,1.7703346504579634e-05,0.0
3.774,5.788287058619108e-07,6.089242112813859e-07,4.800644363765345e-07,1.7898190769044283e-05,0.0
3.775,5.829298568915781e-07,6.107434203025715e-07,4.825604036738839e-07,1.8084497181456725e-05,0.0
3.7760000000000002,5.865915702602412e-07,6.12515951576966e-07,4.845870049103502e-07,1.826150036225745e-05,0.0
3.777,5.897935681633043e-07,6.142397747658538e-07,4.861328391822863e-07,1.842840412535969e-05,0.0
3.778,5.925205455450112e-07,6.159079307480743e-07,4.871870692240707e-07,1.858441329394307e-05,0.0
3.779,5.947631095187485e-07,6.175105000661777e-07,4.877399904616132e-07,1.872874413856798e-05,0.0
3.7800000000000002,5.965193008441564e-07,6.19034910308928e-07,4.877838784698424e-07,1.886070532506198e-05,0.0
3.781,5.977948429263574e-07,6.20465116749655e-07,4.873137947756509e-07,1.897984968430461e-05,0.0
