time,channel
4.343999999999999,1.349602522433745e-05
4.348,1.346532366281025e-05
4.352,1.3437181716207657e-05
4.356,1.341154558723453e-05
4.36,1.3388353758577219e-05
4.364,1.3367537391896688e-05
4.368,1.334902073893682e-05
4.372,1.3332721567025828e-05
4.376,1.331855160051229e-05
4.38,1.3306416979479734e-05
4.3839999999999995,1.3296218737336582e-05
4.388,1.3287853299329363e-05
4.3919999999999995,1.3281213004370639e-05
4.396,1.3276186652487132e-05
4.4,1.3272660079545963e-05
4.404,1.3270516759892242e-05
4.408,1.3269638436375364e-05
4.412,1.3269905775982042e-05
4.416,1.3271199047850483e-05
4.42,1.3273398818853322e-05
4.4239999999999995,1.3276386660348782e-05
4.428,1.3280045858191378e-05
4.4319999999999995,1.328426211661815e-05
4.436,1.3288924245102591e-05
4.44,1.32939248157679e-05
4.444,1.3299160777785219e-05
4.448,1.3304534014740773e-05
4.452,1.3309951831501494e-05
4.456,1.3315327358876686e-05
4.46,1.3320579867717534e-05
4.4639999999999995,1.3325634989015227e-05
4.468,1.3330424842044226e-05
4.4719999999999995,1.3334888077126604e-05
4.476,1.3338969842416925e-05
4.48,1.3342621685554163e-05
4.484,1.3345801401668322e-05
4.488,1.3348472839304067e-05
4.492,1.3350605675340955e-05
4.496,1.335217516891152e-05
4.5,1.3353161902633956e-05
4.504,1.3353551517334215e-05
4.508,1.3353334444243086e-05
4.5120000000000005,1.335250563696027e-05
4.516,1.335106430463027e-05
4.5200000000000005,1.3349013647715596e-05
4.524,1.3346360598087115e-05
4.5280000000000005,1.334311556537981e-05
4.532,1.3339292191317015e-05
4.5360000000000005,1.3334907112959063e-05
4.54,1.3329979734903776e-05
4.5440000000000005,1.3324532009725082e-05
4.548,1.3318588225462803e-05
4.5520000000000005,1.3312174798519155e-05
4.556,1.3305320069539737e-05
4.5600000000000005,1.3298054098634713e-05
4.564,1.3290408454842314e-05
4.5680000000000005,1.328241599367275e-05
4.572,1.3274110616887193e-05
4.5760000000000005,1.3265527011040435e-05
4.58,1.3256700365156996e-05
4.5840000000000005,1.3247666071580768e-05
4.588,1.3238459416228428e-05
4.5920000000000005,1.3229115265059838e-05
4.596,1.3219667753247746e-05
4.6000000000000005,1.3210149982995596e-05
4.604,1.3200593735443283e-05
4.6080000000000005,1.3191029201426306e-05
4.612,1.318148473485299e-05
4.6160000000000005,1.3171986631315252e-05
4.62,1.316255893373258e-05
4.624,1.3153223266802703e-05
4.628,1.3143998702726947e-05
4.632,1.3134901661442614e-05
4.636,1.312594584890402e-05
4.64,1.3117142236899256e-05
4.644,1.3108499087730234e-05
4.648,1.3100022026764102e-05
4.652,1.309171416521048e-05
4.656000000000001,1.3083576274461849e-05
4.66,1.3075607012032376e-05
4.664,1.3067803197691912e-05
4.668,1.3060160136998997e-05
4.672,1.3052671988206257e-05
4.676,1.3045332167498706e-05
4.68,1.3038133786736577e-05
4.684,1.3031070117184422e-05
4.688,1.3024135071880146e-05
4.692,1.3017323698129071e-05
4.696000000000001,1.3010632670015209e-05
