,M
783,-2862
784,-2449
785,-2043
786,-1646
787,-1258
788,-884
789,-511
790,-163
791,188
792,521
793,846
794,1164
795,1467
796,1763
797,2049
798,2320
799,2587
800,2830
801,3074
802,3288
803,3500
804,3683
805,3857
806,4009
807,4138
808,4251
809,4340
810,4409
811,4456
812,4482
813,4483
814,4468
815,4432
816,4370
817,4299
818,4198
819,4088
820,3957
821,3806
822,3646
823,3461
824,3272
825,3059
826,2840
827,2602
828,2360
829,2100
830,1841
831,1566
832,1297
833,1016
834,745
835,465
836,202
837,-64
838,-317
839,-557
840,-796
841,-1010
842,-1224
843,-1422
844,-1606
845,-1793
846,-1957
847,-2131
848,-2290
849,-2452
850,-2614
851,-2770
852,-2933
853,-3088
854,-3245
855,-3393
856,-3534
857,-3662
858,-3773
859,-3862
860,-3926
861,-3956
862,-3954
863,-3910
864,-3829
865,-3700
866,-3536
867,-3318
868,-3074
869,-2782
870,-2465
871,-2119
872,-1749
873,-1369
874,-975
875,-582
876,-189
877,197
878,568
879,928
880,1266
881,1592
882,1890
883,2177
884,2434
885,2685
886,2906
887,3123
888,3315
889,3500
890,3670
891,3822
892,3973
893,4098
894,4225
895,4326
896,4425
897,4502
898,4577
899,4629
900,4677
901,4708
902,4736
903,4748
904,4761
905,4757
906,4759
907,4749
908,4742
909,4730
910,4711
911,4700
912,4675
913,4653
914,4627
915,4587
916,4554
917,4497
918,4447
919,4374
920,4303
921,4212
922,4122
923,4009
924,3903
925,3775
926,3651
927,3512
928,3376
929,3227
930,3082
931,2926
932,2770
933,2611
934,2446
935,2279
936,2103
937,1927
938,1743
939,1552
940,1359
941,1158
942,946
943,742
944,515
945,300
946,71
947,-159
948,-391
949,-625
950,-861
951,-1099
952,-1335
953,-1577
954,-1809
955,-2050
956,-2281
957,-2520
958,-2746
959,-2975
960,-3196
961,-3411
962,-3627
963,-3820
964,-4023
965,-4194
966,-4376
967,-4525
968,-4680
969,-4807
970,-4928
971,-5032
972,-5123
973,-5200
974,-5263
975,-5313
976,-5347
977,-5371
978,-5381
979,-5374
980,-5362
981,-5326
982,-5285
983,-5225
984,-5154
985,-5068
986,-4968
987,-4857
988,-4732
989,-4594
990,-4454
991,-4291
992,-4139
993,-3967
994,-3803
995,-3628
996,-3463
997,-3291
998,-3133
999,-2965
1000,-2818
1001,-2659
1002,-2520
1003,-2375
1004,-2237
1005,-2105
1006,-1969
1007,-1839
1008,-1708
1009,-1575
1010,-1443
1011,-1310
1012,-1174
1013,-1039
1014,-903
1015,-764
1016,-630
1017,-492
1018,-360
1019,-224
1020,-98
1021,34
1022,155
1023,282
1024,400
1025,521
1026,633
1027,751
1028,861
1029,976
1030,1083
1031,1190
1032,1297
1033,1397
1034,1499
1035,1594
1036,1682
1037,1775
1038,1848
1039,1932
1040,1996
1041,2068
1042,2121
1043,2186
1044,2229
1045,2284
1046,2326
1047,2370
1048,2412
1049,2448
1050,2487
1051,2520
1052,2553
1053,2577
1054,2607
1055,2616
1056,2636
1057,2635
1058,2632
1059,2620
1060,2593
1061,2561
1062,2518
1063,2460
1064,2399
1065,2322
1066,2241
1067,2152
1068,2055
1069,1954
1070,1851
1071,1741
1072,1638
1073,1524
1074,1424
1075,1315
1076,1219
1077,1119
1078,1030
1079,944
1080,866
1081,794
1082,729
1083,673
1084,624
1085,583
1086,549
1087,524
1088,505
1089,493
1090,482
1091,484
1092,481
1093,487
1094,490
1095,494
1096,501
1097,502
1098,504
1099,502
1100,502
1101,492
1102,490
1103,476
1104,470
1105,460
1106,448
1107,444
1108,435
1109,435
1110,432
1111,434
1112,443
1113,448
1114,464
1115,475
1116,493
1117,513
1118,531
1119,556
1120,575
1121,601
1122,624
1123,652
1124,677
1125,703
1126,736
1127,761
1128,796
1129,827
1130,859
1131,894
1132,926
1133,956
1134,988
1135,1014
1136,1037
1137,1056
1138,1067
1139,1076
1140,1073
1141,1066
1142,1050
1143,1025
1144,997
1145,955
1146,909
1147,860
1148,796
1149,738
1150,665
1151,592
1152,521
1153,434
1154,359
1155,269
1156,188
1157,99
1158,9
1159,-76
1160,-172
1161,-256
1162,-350
1163,-442
1164,-528
1165,-624
1166,-710
1167,-803
1168,-892
1169,-982
1170,-1073
1171,-1160
1172,-1251
1173,-1341
1174,-1428
1175,-1520
1176,-1604
1177,-1692
1178,-1778
1179,-1859
1180,-1941
1181,-2016
1182,-2088
1183,-2157
1184,-2217
1185,-2278
1186,-2325
1187,-2376
1188,-2413
1189,-2449
1190,-2484
1191,-2507
1192,-2541
1193,-2557
1194,-2587
1195,-2604
1196,-2634
1197,-2653
1198,-2681
1199,-2704
1200,-2728
1201,-2754
1202,-2773
1203,-2793
1204,-2804
1205,-2816
1206,-2815
1207,-2811
1208,-2798
1209,-2777
1210,-2748
1211,-2715
1212,-2672
1213,-2623
1214,-2579
1215,-2517
1216,-2470
1217,-2410
1218,-2357
1219,-2303
1220,-2251
1221,-2196
1222,-2147
1223,-2090
1224,-2035
1225,-1974
1226,-1903
1227,-1831
1228,-1740
1229,-1647
1230,-1530
1231,-1409
1232,-1268
1233,-1115
1234,-950
1235,-772
1236,-581
1237,-389
1238,-178
1239,19
1240,238
1241,437
1242,651
1243,847
1244,1047
1245,1232
1246,1417
1247,1588
1248,1757
1249,1912
1250,2062
1251,2204
1252,2340
1253,2466
1254,2588
1255,2704
1256,2809
1257,2913
1258,3005
1259,3092
1260,3174
1261,3240
1262,3310
1263,3355
1264,3412
1265,3438
1266,3473
1267,3490
1268,3501
1269,3508
1270,3499
1271,3491
1272,3473
1273,3447
1274,3422
1275,3381
1276,3344
1277,3296
1278,3244
1279,3191
1280,3125
1281,3063
1282,2989
1283,2913
1284,2835
1285,2747
1286,2664
1287,2568
1288,2479
1289,2378
1290,2287
1291,2184
1292,2091
1293,1988
1294,1895
1295,1794
1296,1703
1297,1604
1298,1513
1299,1419
1300,1325
1301,1232
1302,1140
1303,1045
1304,952
1305,853
1306,757
1307,657
1308,559
1309,453
1310,352
1311,244
1312,140
1313,31
1314,-74
1315,-185
1316,-292
1317,-399
1318,-507
1319,-613
1320,-717
1321,-824
1322,-923
1323,-1028
1324,-1126
1325,-1223
1326,-1324
1327,-1412
1328,-1512
1329,-1598
1330,-1690
1331,-1775
1332,-1861
1333,-1939
1334,-2023
1335,-2094
1336,-2167
1337,-2237
1338,-2294
1339,-2360
1340,-2405
1341,-2459
1342,-2495
1343,-2533
1344,-2558
1345,-2579
1346,-2594
1347,-2599
1348,-2598
1349,-2592
1350,-2574
1351,-2556
1352,-2528
1353,-2493
1354,-2458
1355,-2412
1356,-2366
1357,-2316
1358,-2259
1359,-2205
1360,-2140
1361,-2079
1362,-2014
1363,-1943
1364,-1878
1365,-1799
1366,-1728
1367,-1650
1368,-1570
1369,-1490
1370,-1404
1371,-1321
1372,-1231
1373,-1145
1374,-1051
1375,-964
1376,-868
1377,-778
1378,-685
1379,-590
1380,-502
1381,-406
1382,-320
1383,-226
1384,-143
1385,-51
1386,28
1387,116
1388,196
1389,272
1390,355
1391,422
1392,503
1393,563
1394,640
1395,696
1396,763
1397,821
1398,873
1399,933
1400,978
1401,1028
1402,1074
1403,1115
1404,1157
1405,1194
1406,1230
1407,1264
1408,1295
1409,1324
1410,1349
1411,1378
1412,1395
1413,1420
1414,1432
1415,1452
1416,1460
1417,1474
1418,1478
1419,1486
1420,1486
1421,1489
1422,1484
1423,1482
1424,1471
1425,1466
1426,1448
1427,1437
1428,1415
1429,1392
1430,1368
1431,1331
1432,1302
1433,1254
1434,1214
1435,1158
1436,1104
1437,1041
1438,976
1439,905
1440,832
1441,756
1442,679
1443,598
1444,525
1445,440
1446,373
1447,296
1448,229
1449,164
1450,101
1451,47
1452,-10
1453,-53
1454,-105
1455,-143
1456,-184
1457,-224
1458,-256
1459,-296
1460,-326
1461,-361
1462,-391
1463,-424
1464,-450
1465,-481
1466,-505
1467,-527
1468,-548
1469,-564
1470,-574
1471,-585
1472,-588
1473,-587
1474,-584
1475,-574
1476,-564
1477,-549
1478,-531
1479,-514
1480,-488
1481,-476
1482,-444
1483,-433
1484,-404
1485,-388
1486,-370
1487,-349
1488,-337
1489,-318
1490,-307
1491,-292
1492,-283
1493,-269
1494,-261
1495,-252
1496,-241
1497,-236
1498,-226
1499,-221
1500,-217
1501,-209
1502,-212
1503,-206
1504,-209
1505,-214
1506,-217
1507,-230
1508,-240
1509,-256
1510,-275
1511,-300
1512,-326
1513,-356
1514,-394
1515,-423
1516,-474
1517,-505
1518,-557
1519,-596
1520,-642
1521,-683
1522,-724
1523,-760
1524,-793
1525,-819
1526,-842
1527,-855
1528,-864
1529,-862
1530,-856
1531,-840
1532,-818
1533,-788
1534,-753
1535,-712
1536,-664
1537,-617
1538,-559
1539,-507
1540,-446
1541,-390
1542,-329
1543,-271
1544,-210
1545,-151
1546,-94
1547,-37
1548,21
1549,74
1550,133
1551,182
1552,238
1553,286
1554,335
1555,383
1556,420
1557,464
1558,492
1559,523
1560,543
1561,559
1562,562
1563,566
1564,553
1565,540
1566,516
1567,486
1568,451
1569,414
1570,370
1571,332
1572,287
1573,253
1574,217
1575,190
1576,172
1577,158
1578,161
1579,166
1580,188
1581,214
1582,257
1583,300
1584,358
1585,416
1586,482
1587,552
1588,619
1589,689
1590,759
1591,823
1592,887
1593,945
1594,999
1595,1049
1596,1095
1597,1135
1598,1171
1599,1208
1600,1231
1601,1264
1602,1282
1603,1302
1604,1322
1605,1328
1606,1345
1607,1341
1608,1346
1609,1338
1610,1328
1611,1313
1612,1290
1613,1263
1614,1233
1615,1198
1616,1158
1617,1118
1618,1075
1619,1031
1620,990
1621,945
1622,906
1623,863
1624,827
1625,786
1626,749
1627,708
1628,668
1629,619
1630,574
1631,513
1632,453
1633,383
1634,300
1635,221
1636,116
1637,24
1638,-90
1639,-202
1640,-315
1641,-438
1642,-550
1643,-669
1644,-783
1645,-884
1646,-996
1647,-1080
1648,-1179
1649,-1257
1650,-1332
1651,-1405
1652,-1467
1653,-1532
1654,-1586
1655,-1644
1656,-1697
1657,-1747
1658,-1803
1659,-1849
1660,-1900
1661,-1947
1662,-1989
1663,-2032
1664,-2068
1665,-2095
1666,-2123
1667,-2133
1668,-2144
1669,-2138
1670,-2128
1671,-2103
1672,-2072
1673,-2027
1674,-1978
1675,-1913
1676,-1847
1677,-1768
1678,-1685
1679,-1597
1680,-1501
1681,-1405
1682,-1304
1683,-1200
1684,-1097
1685,-991
1686,-886
1687,-784
1688,-677
1689,-578
1690,-479
1691,-380
1692,-288
1693,-197
1694,-106
1695,-26
1696,61
1697,136
1698,216
1699,284
1700,360
1701,422
1702,492
1703,551
1704,611
1705,668
1706,715
1707,770
1708,804
1709,848
1710,874
1711,900
1712,917
1713,928
1714,928
1715,929
1716,912
1717,899
1718,875
1719,845
1720,819
1721,779
1722,749
1723,705
1724,674
1725,631
1726,600
1727,558
1728,526
1729,489
1730,456
1731,419
1732,385
1733,346
1734,309
1735,268
1736,227
1737,183
1738,141
1739,91
1740,53
1741,1
1742,-35
1743,-81
1744,-115
1745,-148
1746,-178
1747,-200
1748,-221
1749,-230
1750,-240
1751,-239
1752,-236
1753,-226
1754,-211
1755,-191
1756,-166
1757,-138
1758,-100
1759,-63
1760,-17
1761,33
1762,85
1763,144
1764,207
1765,268
1766,340
1767,401
1768,474
1769,532
1770,600
1771,648
1772,704
1773,738
1774,774
1775,796
1776,806
1777,813
1778,802
1779,793
1780,769
1781,748
1782,721
1783,695
1784,670
1785,653
1786,638
1787,638
1788,642
1789,659
1790,688
1791,730
1792,778
1793,848
1794,911
1795,1005
1796,1084
1797,1188
1798,1282
1799,1387
1800,1493
1801,1594
1802,1700
1803,1796
1804,1893
1805,1983
1806,2061
1807,2141
1808,2200
1809,2261
1810,2301
1811,2335
1812,2354
1813,2363
1814,2356
1815,2341
1816,2308
1817,2269
1818,2216
1819,2153
1820,2083
1821,2007
1822,1920
1823,1834
1824,1741
1825,1646
1826,1548
1827,1452
1828,1350
1829,1249
1830,1149
1831,1038
1832,935
1833,819
1834,700
1835,578
1836,443
1837,303
1838,151
1839,-13
1840,-190
1841,-376
1842,-586
1843,-802
1844,-1045
1845,-1302
1846,-1574
1847,-1879
1848,-2185
1849,-2533
1850,-2884
1851,-3258
1852,-3656
1853,-4053
1854,-4470
1855,-4889
1856,-5299
1857,-5712
1858,-6098
1859,-6468
1860,-6799
1861,-7098
1862,-7340
1863,-7536
1864,-7665
1865,-7734
1866,-7732
1867,-7664
1868,-7525
1869,-7325
1870,-7058
1871,-6743
1872,-6373
1873,-5969
1874,-5530
1875,-5071
1876,-4597
1877,-4119
1878,-3643
1879,-3174
1880,-2720
1881,-2276
1882,-1858
1883,-1450
1884,-1065
1885,-689
1886,-332
1887,21
1888,366
1889,706
1890,1049
1891,1385
1892,1730
1893,2069
1894,2412
1895,2746
1896,3078
1897,3396
1898,3700
1899,3985
1900,4243
1901,4478
1902,4677
1903,4842
1904,4976
1905,5065
1906,5125
1907,5145
1908,5130
1909,5090
1910,5015
1911,4921
1912,4802
1913,4671
1914,4520
1915,4369
1916,4199
1917,4038
1918,3863
1919,3697
1920,3524
1921,3360
1922,3195
1923,3034
1924,2875
1925,2724
1926,2573
1927,2431
1928,2291
1929,2160
1930,2034
1931,1920
1932,1809
1933,1712
1934,1623
1935,1545
1936,1477
1937,1421
1938,1369
1939,1333
1940,1297
1941,1270
1942,1246
1943,1219
1944,1195
1945,1164
1946,1126
1947,1082
1948,1024
1949,956
1950,875
1951,777
1952,667
1953,543
1954,406
1955,254
1956,96
1957,-79
1958,-252
1959,-441
1960,-628
1961,-822
1962,-1018
1963,-1217
1964,-1418
1965,-1621
1966,-1826
1967,-2036
1968,-2247
1969,-2467
1970,-2682
1971,-2913
1972,-3135
1973,-3368
1974,-3594
1975,-3822
1976,-4036
1977,-4249
1978,-4436
1979,-4609
1980,-4757
1981,-4868
1982,-4954
1983,-4992
1984,-4992
1985,-4950
1986,-4855
1987,-4724
1988,-4537
1989,-4315
1990,-4048
1991,-3746
1992,-3411
1993,-3047
1994,-2660
1995,-2254
1996,-1834
1997,-1403
1998,-968
1999,-522
2000,-89
2001,359
2002,785
2003,1221
2004,1639
2005,2051
2006,2449
2007,2833
2008,3196
2009,3542
2010,3856
2011,4144
2012,4396
2013,4610
2014,4781
2015,4906
2016,4985
2017,5009
2018,4993
2019,4916
2020,4803
2021,4640
2022,4440
2023,4211
2024,3951
2025,3673
2026,3381
2027,3086
2028,2787
2029,2500
2030,2217
2031,1952
2032,1703
2033,1473
2034,1259
2035,1066
2036,884
2037,722
2038,565
2039,421
2040,282
2041,143
2042,13
2043,-125
2044,-255
2045,-391
2046,-525
2047,-655
2048,-787
2049,-911
2050,-1031
2051,-1139
2052,-1246
2053,-1329
2054,-1417
2055,-1477
2056,-1537
2057,-1578
2058,-1610
2059,-1636
2060,-1647
2061,-1655
2062,-1659
2063,-1652
2064,-1654
2065,-1641
2066,-1641
2067,-1633
2068,-1633
2069,-1630
2070,-1634
2071,-1639
2072,-1648
2073,-1657
2074,-1673
2075,-1686
2076,-1708
2077,-1721
2078,-1744
2079,-1761
2080,-1781
2081,-1795
2082,-1815
2083,-1821
2084,-1840
2085,-1840
2086,-1851
2087,-1850
2088,-1852
2089,-1853
2090,-1851
2091,-1849
2092,-1850
2093,-1850
2094,-1856
2095,-1859
2096,-1870
2097,-1878
2098,-1892
2099,-1904
2100,-1913
2101,-1923
2102,-1923
2103,-1918
2104,-1901
2105,-1873
2106,-1827
2107,-1768
2108,-1687
2109,-1591
2110,-1471
2111,-1337
2112,-1180
2113,-1015
2114,-826
2115,-639
2116,-427
2117,-231
2118,-11
2119,186
2120,399
2121,590
2122,784
2123,962
2124,1134
2125,1293
2126,1443
2127,1581
2128,1712
2129,1831
2130,1942
2131,2046
2132,2141
2133,2229
2134,2308
2135,2379
2136,2440
2137,2496
2138,2535
2139,2572
2140,2585
2141,2602
2142,2592
2143,2584
2144,2555
2145,2522
2146,2477
2147,2425
2148,2367
2149,2305
2150,2237
2151,2170
2152,2100
2153,2030
2154,1961
2155,1895
2156,1825
2157,1761
2158,1696
2159,1628
2160,1567
2161,1497
2162,1431
2163,1363
2164,1290
2165,1222
2166,1143
2167,1074
2168,996
2169,922
2170,849
2171,776
2172,705
2173,641
2174,572
2175,516
2176,458
2177,403
2178,358
2179,305
2180,271
2181,225
2182,192
2183,156
2184,125
2185,94
2186,70
2187,41
2188,21
2189,1
2190,-17
2191,-30
2192,-42
2193,-51
2194,-53
2195,-58
2196,-55
2197,-54
2198,-51
2199,-43
2200,-42
2201,-33
2202,-35
2203,-32
2204,-37
2205,-45
2206,-57
2207,-76
2208,-103
2209,-131
2210,-174
2211,-215
2212,-271
2213,-324
2214,-393
2215,-455
2216,-531
2217,-602
2218,-674
2219,-752
2220,-818
2221,-890
2222,-949
2223,-1008
2224,-1055
2225,-1098
2226,-1132
2227,-1153
2228,-1176
2229,-1179
2230,-1189
2231,-1181
2232,-1179
2233,-1170
2234,-1157
2235,-1155
2236,-1138
2237,-1146
2238,-1132
2239,-1147
2240,-1144
2241,-1161
2242,-1174
2243,-1189
2244,-1211
2245,-1226
2246,-1246
2247,-1265
2248,-1277
2249,-1293
2250,-1301
2251,-1309
2252,-1317
2253,-1317
2254,-1327
2255,-1328
2256,-1340
2257,-1349
2258,-1367
2259,-1384
2260,-1417
2261,-1443
2262,-1485
2263,-1524
2264,-1566
2265,-1614
2266,-1652
2267,-1696
2268,-1724
2269,-1750
2270,-1763
2271,-1762
2272,-1751
2273,-1718
2274,-1675
2275,-1614
2276,-1536
2277,-1448
2278,-1342
2279,-1230
2280,-1104
2281,-974
2282,-837
2283,-698
2284,-558
2285,-416
2286,-277
2287,-140
2288,-3
2289,124
2290,260
2291,378
2292,509
2293,625
2294,748
2295,866
2296,0
2297,-1
2298,2
2299,-2
2300,1
2301,1
2302,-2
2303,2
2304,-1
2305,0
2306,0
2307,1
2308,-1
2309,1
2310,-2
2311,3
2312,-4
2313,5
2314,-5
2315,4
2316,-2
2317,0
2318,1
2319,-2
2320,3
2321,-2
2322,0
2323,1
2324,-1
2325,1
2326,0
2327,-2
2328,3
2329,-2
2330,0
2331,1
2332,-1
2333,1
2334,-1
2335,0
2336,1
2337,-1
2338,2
2339,-3
2340,3
2341,-3
2342,4
2343,-5
2344,6
2345,-6
2346,5
2347,-4
2348,3
2349,-3
2350,3
2351,-3
2352,2
2353,-1
2354,0
2355,0
2356,1
2357,-1
2358,1
2359,-2
2360,2
2361,-2
2362,3
2363,-2
2364,0
2365,1
2366,-2
2367,2
2368,0
2369,-1
2370,1
2371,-1
2372,1
2373,-1
2374,1
2375,0
2376,-1
2377,1
2378,0
2379,-1
2380,2
2381,-2
2382,0
2383,2
2384,-2
2385,2
2386,-3
2387,3
2388,-2
2389,2
2390,-2
2391,1
2392,0
2393,0
2394,0
2395,0
2396,-1
2397,2
2398,-2
2399,2
2400,-3
2401,3
2402,-2
2403,1
2404,0
2405,0
2406,0
2407,0
2408,0
2409,-1
2410,1
2411,0
2412,0
2413,0
2414,0
2415,-1
2416,1
2417,0
2418,0
2419,0
2420,1
2421,-2
2422,3
2423,-4
2424,4
2425,-3
2426,2
2427,-1
2428,0
2429,-1
2430,2
2431,-2
2432,2
2433,-2
2434,1
2435,0
2436,0
2437,-1
2438,2
2439,-3
2440,3
2441,-2
2442,1
2443,0
2444,-1
2445,0
2446,1
2447,0
2448,-1
2449,2
2450,-4
2451,5
2452,-4
2453,3
2454,-2
2455,1
2456,-1
2457,2
2458,-2
2459,1
2460,-1
2461,1
2462,0
2463,0
2464,0
2465,-1
2466,1
2467,0
2468,0
2469,0
2470,-1
2471,2
2472,-2
2473,2
2474,-2
2475,2
2476,-2
2477,1
2478,0
2479,0
2480,1
2481,-1
2482,-1
2483,1
2484,0
2485,0
2486,1
2487,-2
2488,1
2489,-1
2490,1
2491,0
2492,0
2493,0
2494,-1
2495,1
2496,-1
2497,2
2498,-2
2499,1
2500,0
2501,-1
2502,2
2503,-2
2504,1
2505,0
2506,0
2507,0
2508,1
2509,-2
2510,2
2511,-2
2512,2
