,M
484,0
485,-3
486,6
487,-7
488,6
489,-4
490,2
491,-1
492,1
493,-1
494,1
495,-1
496,0
497,0
498,1
499,-1
500,1
501,-1
502,0
503,1
504,-1
505,1
506,-1
507,1
508,-1
509,1
510,-1
511,0
512,2
513,-3
514,3
515,-3
516,2
517,0
518,-1
519,2
520,-3
521,3
522,-3
523,3
524,-3
525,3
526,-2
527,0
528,1
529,-1
530,1
531,-1
532,1
533,-2
534,3
535,-2
536,1
537,-1
538,1
539,-1
540,1
541,-1
542,1
543,-1
544,1
545,-1
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,1
558,-2
559,2
560,-1
561,0
562,0
563,0
564,0
565,1
566,-2
567,2
568,-2
569,2
570,-2
571,2
572,-2
573,2
574,-2
575,2
576,-2
577,2
578,-2
579,2
580,-2
581,2
582,-1
583,0
584,0
585,-1
586,2
587,-2
588,2
589,-1
590,-1
591,2
592,-3
593,4
594,-3
595,2
596,-2
597,1
598,-1
599,2
600,-2
601,1
602,0
603,-1
604,2
605,-2
606,1
607,0
608,0
609,0
610,0
611,0
612,0
613,0
614,-1
615,3
616,-5
617,6
618,-5
619,3
620,-1
621,-1
622,2
623,-1
624,0
625,1
626,-2
627,2
628,-1
629,0
630,0
631,0
632,-1
633,3
634,-4
635,3
636,-1
637,-2
638,5
639,-6
640,6
641,-5
642,3
643,0
644,-1
645,0
646,0
647,0
648,1
649,-1
650,0
651,0
652,0
653,0
654,0
655,0
656,-1
657,2
658,-3
659,3
660,-2
661,0
662,1
663,-1
664,1
665,-1
666,1
667,-1
668,1
669,0
670,-1
671,1
672,0
673,0
674,0
675,0
676,-1
677,2
678,-1
679,0
680,1
681,-3
682,5
683,-6
684,6
685,-5
686,3
687,-1
688,0
689,-1
690,2
691,-2
692,2
693,-2
694,2
695,-3
696,4
697,-4
698,3
699,-1
700,0
701,0
702,0
703,-1
704,2
705,-1
706,0
707,0
708,-1
709,3
710,-4
711,4
712,-4
713,4
714,-3
715,3
716,-3
717,2
718,-1
719,0
720,2
721,-2
722,1
723,-2
724,3
725,-3
726,3
727,-3
728,2
729,-1
730,1
731,-1
732,0
733,1
734,-1
735,1
736,-1
737,1
738,-1
739,1
740,0
741,-2
742,4
743,-4
744,3
745,-2
746,1
747,-1
748,2
749,-1
750,-1
751,2
752,-2
753,2
754,-1
755,-1
756,2
757,-1
758,0
759,0
760,0
761,0
762,1
763,-2
764,2
765,-2
766,2
767,-1
768,0
769,0
770,-1
771,1
772,0
773,0
774,0
775,-1
776,1
777,0
778,-1
779,2
780,-2
781,2
782,-1
783,-1
784,2
785,-2
786,3
787,-3
788,2
789,-1
790,-1
791,3
792,-3
793,2
794,-2
795,2
796,-1
797,0
798,1
799,-2
800,2
801,-1
802,-1
803,3
804,-3
805,2
806,-1
807,-1
808,3
809,-4
810,3
811,-2
812,2
813,-2
814,2
815,-3
816,4
817,-4
818,4
819,-3
820,1
821,1
822,-2
823,2
824,-2
825,2
826,-2
827,1
828,0
829,-1
830,2
831,-2
832,1
833,0
834,-1
835,2
836,-3
837,3
838,-2
839,1
840,-1
841,1
842,-1
843,2
844,-2
845,1
846,0
847,0
848,0
849,1
850,-2
851,3
852,-3
853,2
854,-1
855,0
856,1
857,-2
858,2
859,-1
860,0
861,0
862,1
863,-2
864,3
865,-3
866,1
867,1
868,-2
869,3
870,-3
871,1
872,1
873,-3
874,4
875,-4
876,4
877,-3
878,2
879,-2
880,2
881,-1
882,0
883,0
884,1
885,-2
886,2
887,-2
888,2
889,-1
890,1
891,-2
892,2
893,-1
894,0
895,1
896,-1
897,1
898,-2
899,2
900,-1
901,0
902,2
903,-5
904,6
905,-5
906,4
907,-3
908,2
909,-2
910,2
911,-1
912,0
913,1
914,-1
915,1
916,-2
917,3
918,-3
919,3
920,-3
921,2
922,-2
923,3
924,-3
925,2
926,-1
927,0
928,0
929,1
930,-2
931,3
932,-3
933,2
934,-1
935,0
936,1
937,-2
938,3
939,-4
940,5
941,-5
942,4
943,-3
944,2
945,-1
946,1
947,-1
948,1
949,-1
950,0
951,1
952,-1
953,0
954,2
955,-5
956,6
957,-6
958,5
959,-3
960,1
961,0
962,-1
963,1
964,0
965,-1
966,2
967,-3
968,3
969,-3
970,2
971,0
972,-1
973,1
974,-1
975,1
976,0
977,0
978,-1
979,2
980,-1
981,-1
982,3
983,-4
984,4
985,-3
986,2
987,-1
988,1
989,-1
990,0
991,1
992,-1
993,1
994,-1
995,1
996,-2
997,3
998,-4
999,4
1000,-3
1001,2
1002,-2
1003,2
1004,-2
1005,1
1006,1
1007,-3
1008,4
1009,-4
1010,3
1011,-2
1012,2
1013,-2
1014,2
1015,-1
1016,-1
1017,2
1018,-2
1019,2
1020,-1
1021,0
1022,0
1023,1
1024,-2
1025,2
1026,-1
1027,1
1028,0
1029,-1
1030,0
1031,1
1032,0
1033,0
1034,-1
1035,1
1036,0
1037,0
1038,-1
1039,1
1040,-1
1041,1
1042,0
1043,-2
1044,3
1045,-3
1046,2
1047,0
1048,-2
1049,3
1050,-3
1051,2
1052,0
1053,-1
1054,1
1055,0
1056,-1
1057,2
1058,-2
1059,2
1060,-2
1061,2
1062,-1
1063,0
1064,1
1065,-2
1066,2
1067,-1
1068,1
1069,-2
1070,2
1071,-1
1072,-1
1073,4
1074,-5
1075,4
1076,-3
1077,1
1078,1
1079,-1
1080,1
1081,-2
1082,3
1083,-3
1084,2
1085,-1
1086,0
1087,1
1088,-1
1089,0
1090,1
1091,-1
1092,0
1093,1
1094,-1
1095,0
1096,2
1097,-4
1098,4
1099,-2
1100,0
1101,1
1102,-2
1103,2
1104,-1
1105,1
1106,-1
1107,0
1108,0
1109,0
1110,1
1111,-1
1112,0
1113,1
1114,-2
1115,2
1116,-1
1117,0
1118,0
1119,0
1120,0
1121,1
1122,-2
1123,2
1124,-2
1125,1
1126,1
1127,-2
1128,3
1129,-3
1130,2
1131,-1
1132,0
1133,1
1134,-1
1135,1
1136,-2
1137,2
1138,-1
1139,0
1140,1
1141,-2
1142,2
1143,-1
1144,-1
1145,3
1146,-4
1147,4
1148,-3
1149,1
1150,0
1151,0
1152,0
1153,0
1154,0
1155,0
1156,0
1157,0
1158,-1
1159,2
1160,-2
1161,2
1162,-2
1163,1
1164,0
1165,0
1166,0
1167,-1
1168,2
1169,-2
1170,2
1171,-2
1172,2
1173,-2
1174,1
1175,0
1176,-1
1177,2
1178,-2
1179,2
1180,-2
1181,2
1182,-2
1183,1
1184,0
1185,0
1186,0
1187,0
1188,-1
1189,1
1190,-1
1191,2
1192,-2
1193,0
1194,2
1195,-3
1196,3
1197,-2
1198,1
1199,-1
1200,2
1201,-3
1202,3
1203,-2
1204,1
1205,-1
1206,1
1207,-1
1208,1
1209,0
1210,-1
1211,1
1212,-1
1213,1
1214,0
1215,0
1216,-1
1217,1
1218,-1
1219,2
1220,-2
1221,1
1222,0
1223,-2
1224,3
1225,-2
1226,0
1227,1
1228,-1
1229,0
1230,1
1231,-1
1232,-1
1233,3
1234,-3
1235,2
1236,-1
1237,0
1238,0
1239,1
1240,-1
1241,0
1242,1
1243,-2
1244,3
1245,-3
1246,2
1247,-1
1248,1
1249,-1
1250,1
1251,-1
1252,1
1253,-1
1254,0
1255,1
1256,-1
1257,0
1258,1
1259,-2
1260,3
1261,-3
1262,2
1263,-1
1264,1
1265,-1
1266,1
1267,-1
1268,1
1269,-1
1270,1
1271,-2
1272,3
1273,-3
1274,3
1275,-2
1276,0
1277,2
1278,-4
1279,5
1280,-5
1281,4
1282,-2
1283,1
1284,-1
1285,0
1286,1
1287,-2
1288,3
1289,-2
1290,1
1291,0
1292,-1
1293,1
1294,0
1295,0
1296,-1
1297,2
1298,-2
1299,2
1300,-3
1301,3
1302,-2
1303,1
1304,1
1305,-4
1306,5
1307,-4
1308,3
1309,-2
1310,2
1311,-3
1312,4
1313,-4
1314,3
1315,-1
1316,-1
1317,2
1318,-1
1319,-1
1320,2
1321,-2
1322,2
1323,-1
1324,0
1325,0
1326,0
1327,0
1328,0
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,-1
1336,2
1337,-2
1338,2
1339,-2
1340,1
1341,0
1342,-1
1343,2
1344,-3
1345,3
1346,-3
1347,3
1348,-2
1349,1
1350,-1
1351,0
1352,1
1353,0
1354,-1
1355,2
1356,-3
1357,3
1358,-2
1359,1
1360,0
1361,0
1362,0
1363,-1
1364,-37
1365,-136
1366,-217
1367,-302
1368,-364
1369,-427
1370,-468
1371,-505
1372,-523
1373,-529
1374,-527
1375,-502
1376,-478
1377,-436
1378,-384
1379,-332
1380,-264
1381,-200
1382,-130
1383,-58
1384,9
1385,78
1386,137
1387,198
1388,245
1389,289
1390,325
1391,345
1392,369
1393,366
1394,368
1395,350
1396,327
1397,294
1398,244
1399,195
1400,123
1401,54
1402,-34
1403,-130
1404,-231
1405,-345
1406,-464
1407,-592
1408,-722
1409,-857
1410,-993
1411,-1123
1412,-1257
1413,-1373
1414,-1483
1415,-1579
1416,-1651
1417,-1711
1418,-1735
1419,-1749
1420,-1715
1421,-1676
1422,-1588
1423,-1490
1424,-1355
1425,-1209
1426,-1034
1427,-854
1428,-660
1429,-461
1430,-266
1431,-72
1432,110
1433,281
1434,432
1435,569
1436,680
1437,776
1438,846
1439,899
1440,931
1441,946
1442,951
1443,934
1444,921
1445,888
1446,859
1447,824
1448,787
1449,754
1450,721
1451,690
1452,662
1453,641
1454,619
1455,604
1456,592
1457,581
1458,579
1459,578
1460,577
1461,587
1462,590
1463,605
1464,617
1465,632
1466,647
1467,663
1468,674
1469,689
1470,694
1471,697
1472,697
1473,682
1474,668
1475,641
1476,606
1477,566
1478,513
1479,456
1480,392
1481,322
1482,248
1483,171
1484,91
1485,15
1486,-68
1487,-136
1488,-218
1489,-279
1490,-349
1491,-401
1492,-457
1493,-497
1494,-540
1495,-564
1496,-590
1497,-600
1498,-608
1499,-604
1500,-592
1501,-575
1502,-550
1503,-519
1504,-483
1505,-444
1506,-401
1507,-361
1508,-318
1509,-280
1510,-245
1511,-215
1512,-190
1513,-177
1514,-162
1515,-165
1516,-165
1517,-179
1518,-194
1519,-215
1520,-237
1521,-268
1522,-287
1523,-324
1524,-339
1525,-374
1526,-389
1527,-419
1528,-433
1529,-458
1530,-477
1531,-496
1532,-521
1533,-542
1534,-568
1535,-594
1536,-622
1537,-650
1538,-679
1539,-704
1540,-730
1541,-748
1542,-766
1543,-771
1544,-774
1545,-765
1546,-749
1547,-726
1548,-685
1549,-646
1550,-588
1551,-527
1552,-458
1553,-376
1554,-293
1555,-197
1556,-99
1557,11
1558,121
1559,243
1560,367
1561,496
1562,633
1563,764
1564,906
1565,1031
1566,1166
1567,1281
1568,1388
1569,1482
1570,1547
1571,1600
1572,1616
1573,1616
1574,1571
1575,1513
1576,1411
1577,1290
1578,1141
1579,973
1580,788
1581,595
1582,394
1583,198
1584,7
1585,-166
1586,-328
1587,-459
1588,-570
1589,-651
1590,-703
1591,-727
1592,-722
1593,-691
1594,-634
1595,-561
1596,-467
1597,-359
1598,-244
1599,-113
1600,13
1601,153
1602,283
1603,423
1604,556
1605,687
1606,824
1607,944
1608,1080
1609,1192
1610,1320
1611,1427
1612,1540
1613,1636
1614,1729
1615,1806
1616,1871
1617,1919
1618,1946
1619,1955
1620,1933
1621,1891
1622,1816
1623,1710
1624,1577
1625,1405
1626,1206
1627,972
1628,708
1629,419
1630,100
1631,-238
1632,-591
1633,-958
1634,-1326
1635,-1694
1636,-2051
1637,-2392
1638,-2705
1639,-2988
1640,-3227
1641,-3424
1642,-3566
1643,-3653
1644,-3680
1645,-3648
1646,-3555
1647,-3403
1648,-3201
1649,-2941
1650,-2648
1651,-2310
1652,-1948
1653,-1567
1654,-1171
1655,-777
1656,-385
1657,-6
1658,354
1659,691
1660,995
1661,1272
1662,1507
1663,1710
1664,1868
1665,1991
1666,2068
1667,2105
1668,2101
1669,2047
1670,1960
1671,1820
1672,1642
1673,1421
1674,1156
1675,854
1676,519
1677,148
1678,-247
1679,-660
1680,-1087
1681,-1515
1682,-1936
1683,-2343
1684,-2723
1685,-3066
1686,-3366
1687,-3612
1688,-3798
1689,-3922
1690,-3972
1691,-3959
1692,-3867
1693,-3716
1694,-3491
1695,-3215
1696,-2878
1697,-2498
1698,-2077
1699,-1629
1700,-1151
1701,-669
1702,-167
1703,322
1704,815
1705,1288
1706,1745
1707,2177
1708,2586
1709,2953
1710,3299
1711,3590
1712,3854
1713,4062
1714,4233
1715,4348
1716,4422
1717,4439
1718,4413
1719,4330
1720,4210
1721,4032
1722,3823
1723,3566
1724,3279
1725,2959
1726,2612
1727,2245
1728,1862
1729,1468
1730,1066
1731,668
1732,269
1733,-117
1734,-490
1735,-846
1736,-1179
1737,-1479
1738,-1759
1739,-1985
1740,-2188
1741,-2331
1742,-2437
1743,-2482
1744,-2480
1745,-2416
1746,-2298
1747,-2124
1748,-1894
1749,-1615
1750,-1289
1751,-920
1752,-522
1753,-95
1754,347
1755,795
1756,1241
1757,1677
1758,2088
1759,2476
1760,2820
1761,3132
1762,3388
1763,3603
1764,3760
1765,3866
1766,3922
1767,3924
1768,3879
1769,3783
1770,3642
1771,3461
1772,3231
1773,2971
1774,2663
1775,2326
1776,1951
1777,1542
1778,1108
1779,636
1780,152
1781,-363
1782,-886
1783,-1421
1784,-1955
1785,-2486
1786,-2998
1787,-3490
1788,-3948
1789,-4359
1790,-4728
1791,-5032
1792,-5275
1793,-5447
1794,-5543
1795,-5564
1796,-5508
1797,-5375
1798,-5169
1799,-4893
1800,-4553
1801,-4155
1802,-3707
1803,-3218
1804,-2695
1805,-2154
1806,-1591
1807,-1035
1808,-479
1809,58
1810,568
1811,1043
1812,1475
1813,1850
1814,2172
1815,2424
1816,2603
1817,2717
1818,2740
1819,2701
1820,2573
1821,2379
1822,2113
1823,1784
1824,1402
1825,971
1826,506
1827,14
1828,-491
1829,-998
1830,-1497
1831,-1976
1832,-2427
1833,-2834
1834,-3204
1835,-3511
1836,-3769
1837,-3959
1838,-4093
1839,-4154
1840,-4158
1841,-4093
1842,-3970
1843,-3786
1844,-3546
1845,-3253
1846,-2908
1847,-2522
1848,-2088
1849,-1624
1850,-1122
1851,-596
1852,-49
1853,513
1854,1081
1855,1651
1856,2213
1857,2755
1858,3282
1859,3762
1860,4220
1861,4614
1862,4965
1863,5250
1864,5477
1865,5629
1866,5724
1867,5735
1868,5695
1869,5576
1870,5404
1871,5171
1872,4887
1873,4559
1874,4191
1875,3790
1876,3364
1877,2919
1878,2459
1879,1997
1880,1527
1881,1067
1882,612
1883,175
1884,-244
1885,-639
1886,-1006
1887,-1341
1888,-1635
1889,-1890
1890,-2099
1891,-2260
1892,-2370
1893,-2423
1894,-2426
1895,-2366
1896,-2267
1897,-2097
1898,-1899
1899,-1640
1900,-1356
1901,-1037
1902,-693
1903,-341
1904,23
1905,378
1906,724
1907,1048
1908,1344
1909,1604
1910,1822
1911,1998
1912,2115
1913,2193
1914,2203
1915,2171
1916,2078
1917,1939
1918,1747
1919,1512
1920,1232
1921,917
1922,564
1923,186
1924,-218
1925,-640
1926,-1077
1927,-1516
1928,-1966
1929,-2393
1930,-2828
1931,-3226
1932,-3607
1933,-3951
1934,-4252
1935,-4509
1936,-4708
1937,-4851
1938,-4927
1939,-4937
1940,-4877
1941,-4747
1942,-4547
1943,-4282
1944,-3952
1945,-3565
1946,-3130
1947,-2648
1948,-2137
1949,-1597
1950,-1046
1951,-489
1952,64
1953,602
1954,1122
1955,1605
1956,2062
1957,2468
1958,2839
1959,3151
1960,3424
1961,3634
1962,3799
1963,3909
1964,3963
1965,3972
1966,3926
1967,3831
1968,3689
1969,3499
1970,3267
1971,2993
1972,2681
1973,2334
1974,1958
1975,1558
1976,1141
1977,714
1978,285
1979,-139
1980,-544
1981,-926
1982,-1273
1983,-1576
1984,-1830
1985,-2026
1986,-2157
1987,-2225
1988,-2223
1989,-2152
1990,-2021
1991,-1820
1992,-1572
1993,-1273
1994,-935
1995,-571
1996,-184
1997,208
1998,597
1999,978
2000,1334
2001,1668
2002,1963
2003,2223
2004,2441
2005,2615
2006,2748
2007,2835
2008,2886
2009,2895
2010,2869
2011,2813
2012,2721
2013,2610
2014,2465
2015,2303
2016,2113
2017,1905
2018,1670
2019,1415
2020,1138
2021,832
2022,509
2023,156
2024,-216
2025,-611
2026,-1024
2027,-1455
2028,-1893
2029,-2340
2030,-2786
2031,-3223
2032,-3646
2033,-4049
2034,-4413
2035,-4748
2036,-5029
2037,-5260
2038,-5431
2039,-5536
2040,-5576
2041,-5544
2042,-5442
2043,-5270
2044,-5029
2045,-4730
2046,-4369
2047,-3960
2048,-3507
2049,-3020
2050,-2509
2051,-1984
2052,-1451
2053,-925
2054,-409
2055,81
2056,546
2057,972
2058,1360
2059,1698
2060,1992
2061,2227
2062,2419
2063,2549
2064,2639
2065,2665
2066,2659
2067,2595
2068,2503
2069,2366
2070,2204
2071,2013
2072,1801
2073,1579
2074,1340
2075,1108
2076,866
2077,645
2078,427
2079,240
2080,64
2081,-72
2082,-187
2083,-257
2084,-297
2085,-298
2086,-261
2087,-190
2088,-77
2089,56
2090,232
2091,416
2092,634
2093,858
2094,1094
2095,1335
2096,1575
2097,1810
2098,2036
2099,2249
2100,2446
2101,2623
2102,2782
2103,2913
2104,3025
2105,3109
2106,3168
2107,3200
2108,3205
2109,3183
2110,3137
2111,3061
2112,2961
2113,2835
2114,2684
2115,2518
2116,2318
2117,2117
2118,1882
2119,1654
2120,1401
2121,1156
2122,900
2123,653
2124,411
2125,174
2126,-40
2127,-253
2128,-433
2129,-609
2130,-751
2131,-884
2132,-989
2133,-1076
2134,-1146
2135,-1189
2136,-1222
2137,-1233
2138,-1227
2139,-1208
2140,-1172
2141,-1122
2142,-1065
2143,-987
2144,-913
2145,-820
2146,-732
2147,-638
2148,-552
2149,-468
2150,-402
2151,-344
2152,-317
2153,-305
2154,-332
2155,-381
2156,-473
2157,-593
2158,-752
2159,-942
2160,-1162
2161,-1411
2162,-1675
2163,-1959
2164,-2248
2165,-2536
2166,-2823
2167,-3090
2168,-3341
2169,-3568
2170,-3760
2171,-3926
2172,-4047
2173,-4143
2174,-4186
2175,-4213
2176,-4182
2177,-4139
2178,-4050
2179,-3939
2180,-3800
2181,-3637
2182,-3448
2183,-3244
2184,-3010
2185,-2767
2186,-2493
2187,-2213
2188,-1900
2189,-1589
2190,-1244
2191,-900
2192,-538
2193,-170
2194,199
2195,570
2196,934
2197,1286
2198,1628
2199,1940
2200,2240
2201,2497
2202,2736
2203,2930
2204,3097
2205,3219
2206,3313
2207,3364
2208,3390
2209,3380
2210,3345
2211,3284
2212,3205
2213,3103
2214,2998
2215,2872
2216,2749
2217,2613
2218,2485
2219,2346
2220,2225
2221,2092
2222,1976
2223,1857
2224,1748
2225,1645
2226,1544
2227,1451
2228,1361
2229,1275
2230,1190
2231,1112
2232,1029
2233,953
2234,875
2235,796
2236,726
2237,647
2238,579
2239,512
2240,447
2241,400
2242,344
2243,314
2244,282
2245,272
2246,268
2247,280
2248,302
2249,338
2250,383
2251,439
2252,495
2253,568
2254,629
2255,704
2256,763
2257,833
2258,883
2259,942
2260,977
2261,1019
2262,1043
2263,1066
2264,1078
2265,1080
2266,1078
2267,1063
2268,1039
2269,1006
2270,952
2271,890
2272,803
2273,693
2274,565
2275,402
2276,214
2277,-1
2278,-255
2279,-525
2280,-834
2281,-1155
2282,-1499
2283,-1854
2284,-2212
2285,-2567
2286,-2917
2287,-3239
2288,-3549
2289,-3816
2290,-4055
2291,-4250
2292,-4400
2293,-4511
2294,-4570
2295,-4595
2296,-4571
2297,-4515
2298,-4424
2299,-4305
2300,-4159
2301,-3997
2302,-3811
2303,-3620
2304,-3411
2305,-3194
2306,-2975
2307,-2738
2308,-2508
2309,-2256
2310,-2014
2311,-1750
2312,-1499
2313,-1226
2314,-965
2315,-696
2316,-429
2317,-174
2318,85
2319,320
2320,557
2321,762
2322,964
2323,1138
2324,1296
2325,1433
2326,1552
2327,1650
2328,1735
2329,1798
2330,1856
2331,1891
2332,1926
2333,1943
2334,1954
2335,1959
2336,1949
2337,1936
2338,1912
2339,1877
2340,1836
2341,1780
2342,1719
2343,1648
2344,1571
2345,1492
2346,1403
2347,1330
2348,1245
2349,1187
2350,1128
2351,1095
2352,1076
2353,1084
2354,1112
2355,1171
2356,1249
2357,1359
2358,1484
2359,1635
2360,1799
2361,1977
2362,2165
2363,2352
2364,2548
2365,2727
2366,2910
2367,3070
2368,3223
2369,3352
2370,3467
2371,3556
2372,3627
2373,3671
2374,3695
2375,3696
2376,3674
2377,3632
2378,3563
2379,3483
2380,3374
2381,3259
2382,3114
2383,2967
2384,2794
2385,2619
2386,2427
2387,2227
2388,2022
2389,1803
2390,1584
2391,1354
2392,1121
2393,880
2394,632
2395,375
2396,110
2397,-168
2398,-455
2399,-758
2400,-1070
2401,-1401
2402,-1741
2403,-2094
2404,-2458
2405,-2825
2406,-3197
2407,-3570
2408,-3927
2409,-4284
2410,-4613
2411,-4923
2412,-5205
2413,-5450
2414,-5660
2415,-5829
2416,-5953
2417,-6040
2418,-6073
2419,-6077
2420,-6026
2421,-5955
2422,-5835
2423,-5702
2424,-5530
2425,-5352
2426,-5150
2427,-4942
2428,-4728
2429,-4506
2430,-4290
2431,-4070
2432,-3858
2433,-3647
2434,-3446
2435,-3248
2436,-3056
2437,-2874
2438,-2691
2439,-2524
2440,-2352
2441,-2193
2442,-2035
2443,-1877
2444,-1729
2445,-1577
2446,-1424
2447,-1276
2448,-1116
2449,-959
2450,-787
2451,-615
2452,-421
2453,-229
2454,-9
2455,212
2456,455
2457,709
2458,973
2459,1251
2460,1533
2461,1825
2462,2114
2463,2407
2464,2692
2465,2969
2466,3239
2467,3487
2468,3728
2469,3946
2470,4143
2471,4324
2472,4481
2473,4619
2474,4737
2475,4837
2476,4912
2477,4981
2478,5017
2479,5054
2480,5059
2481,5059
2482,5035
2483,5000
2484,4943
2485,4871
2486,4781
2487,4668
2488,4546
2489,4393
2490,4231
2491,4048
2492,3850
2493,3638
2494,3414
2495,3175
2496,2937
2497,2681
2498,2435
2499,2176
2500,1926
2501,1672
2502,1431
2503,1183
2504,958
2505,723
2506,513
2507,299
2508,107
2509,-86
2510,-258
2511,-424
2512,-575
2513,-713
2514,-839
2515,-948
2516,-1045
2517,-1127
2518,-1192
2519,-1250
2520,-1288
2521,-1319
2522,-1341
2523,-1347
2524,-1361
2525,-1353
2526,-1363
2527,-1352
2528,-1363
2529,-1359
2530,-1374
2531,-1383
2532,-1404
2533,-1428
2534,-1454
2535,-1492
2536,-1522
2537,-1564
2538,-1606
2539,-1643
2540,-1691
2541,-1731
2542,-1778
2543,-1827
2544,-1873
2545,-1933
2546,-1988
2547,-2061
2548,-2131
2549,-2217
2550,-2305
2551,-2406
2552,-2508
2553,-2617
2554,-2725
2555,-2828
2556,-2928
2557,-3006
2558,-3079
2559,-3113
2560,-3136
2561,-3109
2562,-3062
2563,-2963
2564,-2834
2565,-2659
2566,-2448
2567,-2202
2568,-1921
2569,-1619
2570,-1293
2571,-958
2572,-619
2573,-276
2574,44
2575,357
2576,636
2577,887
2578,1106
2579,1280
2580,1419
2581,1511
2582,1569
2583,1583
2584,1567
2585,1518
2586,1444
2587,1349
2588,1239
2589,1121
2590,998
2591,878
2592,761
2593,652
2594,556
2595,472
2596,403
2597,348
2598,304
2599,276
2600,253
2601,246
2602,237
2603,240
2604,237
2605,241
2606,239
2607,239
2608,231
